IMDb_ID,Year,Title,Genres,Production Companies,Director,Cast,Budget,Revenue,Rating
tt0015433,1924,Triumph,['Drama'],['Paramount'],Cecil B. DeMille,"['Leatrice Joy', 'Rod La Rocque', 'Victor Varconi', 'Charles Ogle', 'Theodore Kosloff', 'Elmo Billings']",0,245919,0.0
tt0177243,1924,Southern Love,[],[],Herbert Wilcox,"['Betty Blythe', 'Herbert Langley', 'Randle Ayrton', 'Warwick Ward', 'Liane Haid', 'Hal Martin']",0,0,0.0
tt0276527,1924,The Starlit Garden,[],[],Guy Newall,"['Guy Newall', 'Ivy Duke']",0,0,0.0
tt0928075,1924,Treno di piacere,[],[],Luciano Doria,"['Oreste Bilancia', 'Alberto Collo', 'Alex Bernard', 'Franz Sala', 'Domenico Serra', 'Armand Pouget', 'Augusto Bandini', 'Petronilla Garis', 'Alberto Pasquali', 'Pauline Polaire', 'Lidia Quaranta', 'Elena Sangro']",0,0,0.0
tt0216389,1924,I volti dell'amore,[],[],Carmine Gallone,"['Alex Bernard', 'Gina Cinquini', 'Angelo Ferrari', 'Soava Gallone', 'Bonaventura Ibáñez', 'Lydianne', 'Alfredo Martinelli', 'Pietro Paoli', 'Giuseppe Pierozzi', 'Clarette Sabatelli']",0,0,0.0
tt0015472,1924,Waterfront Wolves,['Drama'],['Paul Gerson Pictures Corporation'],Tom Gibson,"['Ora Carew', 'Jay Morley', 'Dick La Reno', 'Emma Muncy', 'Hal Stephens', 'Tiny Sandford', 'Fernando Gálvez', ""Eddie O'Brien"", 'James Goo']",0,0,0.0
tt0014824,1924,The Dangerous Flirt,[],[],Tod Browning,"['Evelyn Brent', 'Edward Earle', 'Sheldon Lewis', 'Clarissa Selwynne']",0,0,0.0
tt0828053,1924,Der Länderkampf Deutschland-Italien im Duisburger Stadion,[],[],,[],0,0,0.0
,1924,Culemborg Journaal,['Documentary'],['Kinematograaf Pathé Frères (Nederland)'],,[],0,0,0.0
tt1570739,1924,"Wein, Weib, Gesang",['Documentary'],[],Willy Achsel,[],0,0,0.0
tt0438603,1924,Windstärke 9,[],[],Reinhold Schünzel,"['Maria Kamradek', 'Alwin Neuß', 'Albert Bennefeld', 'Harry Halm', 'Adolf Klein', 'Rudolf Lettinger']",0,0,0.0
,1924,De Vliegtocht Nederland-Indië,['Documentary'],['Haghe Film'],Henk Alsem,[],0,0,0.0
,1924,Naar Breda,"['Comedy', 'Drama']",['Dufilms'],Armand Haagman,['Louisa Augusta van Gijtenbeek'],0,0,0.0
tt0013684,1924,Tinoco em Bolandas,['Comedy'],['Invicta Film'],António Pinheiro,"['Rafael Alves', 'Maria Olguim', 'António Pinheiro', 'Maria Clementina', 'Duarte Silva', 'Georges Pallu', 'Artur Sá', 'Adriano Guimarães']",0,0,0.0
tt0015624,1925,The Big Parade,"['Drama', 'Romance', 'War']",['Metro-Goldwyn-Mayer'],King Vidor,"['John Gilbert', 'Renée Adorée', 'Hobart Bosworth', 'Claire McDowell', 'Claire Adams', 'Robert Ober', ""Tom O'Brien"", 'Karl Dane', 'Rosita Marstini', 'Julanne Johnston', 'Kathleen Key', 'Carl Roup']",382000,20000000,7.6
tt0016641,1925,Ben-Hur: A Tale of the Christ,"['Adventure', 'Drama', 'Romance']",['Metro-Goldwyn-Mayer'],Fred Niblo,"['Ramon Novarro', 'Francis X. Bushman', 'May McAvoy', 'Betty Bronson', 'Claire McDowell', 'Kathleen Key', 'Carmel Myers', 'Nigel De Brulier', 'Mitchell Lewis', 'Leo White', 'Frank Currier', 'Charles Belcher', 'Dale Fuller', 'Winter Hall', 'Reginald Barker', 'John Barrymore', 'Lionel Barrymore', 'Clarence Brown', 'Manuel Caballero', 'Gilbert Clayton', 'Joan Crawford', 'Jacob Dance', 'Marion Davies', 'William Donovan', 'Bill Elliott', 'Ray Erlenborn', 'Douglas Fairbanks', 'George Fitzmaurice', 'Sidney Franklin', 'Rosita Garcia', 'Janet Gaynor', 'John Gilbert', 'Dorothy Gish', 'Lillian Gish', 'Samuel Goldwyn', 'Harry Gordon', 'Sid Grauman', 'William Green', 'Noble Johnson', 'Rupert Julian', 'Henry King', 'Harold Lloyd', 'Carole Lombard', 'Cliff Lyons', 'Mickey Millerick', 'Carlotta Monti', 'Colleen Moore', 'Claude Payton', 'Mary Pickford', 'Satini Pualoa', 'Leonora Summers', 'Tom Tyler', 'Christiane Yves', 'Gary Cooper', 'Clark Gable', 'Myrna Loy']",3900000,9000000,7.4
